feature,gain,share_pct
p95_speed,17.71681078395264,17.71681078395264
corner_rate_100km,16.90889248245558,16.90889248245558
cornering_events,15.33827396735629,15.33827396735629
jerk_p95,11.414724035325662,11.414724035325662
dist_km,9.592070727911981,9.592070727911981
std_speed,7.4210581191081815,7.4210581191081815
avg_speed,5.284362176300836,5.284362176300835
hard_brake_rate_100km,4.956170026115014,4.956170026115014
jerk_mean,2.91983496539963,2.91983496539963
rain_mile_share,2.6584652734121454,2.6584652734121454
speeding_exposure,2.2190448770744258,2.2190448770744258
hard_brakes,2.1533629398093104,2.1533629398093104
p50_speed,1.416929625778299,1.416929625778299
harsh_accel_rate_100km,0.0,0.0
idle_share,0.0,0.0
night_mile_share,0.0,0.0
harsh_accels,0.0,0.0
duration_sec,0.0,0.0
hz,0.0,0.0
n_records,0.0,0.0
